1st grade: 168/300 accepted
attempt 1: asked 23, received 23, kept 4 -> 172/300
attempt 2: asked 23, received 23, kept 1 -> 173/300
attempt 3: asked 23, received 23, kept 12 -> 185/300
attempt 4: asked 23, received 23, kept 10 -> 195/300
attempt 5: asked 23, received 23, kept 12 -> 207/300
attempt 6: asked 23, received 23, kept 7 -> 214/300
attempt 7: asked 23, received 23, kept 4 -> 218/300
attempt 8: asked 23, received 23, kept 2 -> 220/300
attempt 9: asked 23, received 23, kept 9 -> 229/300
attempt 10: asked 23, received 23, kept 0 -> 229/300
attempt 11: asked 23, received 23, kept 1 -> 230/300
attempt 12: asked 23, received 23, kept 0 -> 230/300
attempt 13: asked 23, received 23, kept 6 -> 236/300
attempt 14: asked 23, received 23, kept 5 -> 241/300
attempt 15: asked 23, received 23, kept 11 -> 252/300
attempt 16: asked 23, received 23, kept 7 -> 259/300
attempt 17: asked 23, received 23, kept 9 -> 268/300
attempt 18: asked 23, received 23, kept 4 -> 272/300
attempt 19: asked 23, received 23, kept 5 -> 277/300
attempt 20: asked 23, received 23, kept 3 -> 280/300
attempt 21: asked 23, received 23, kept 1 -> 281/300
attempt 22: asked 22, received 22, kept 3 -> 284/300
attempt 23: asked 19, received 19, kept 7 -> 291/300
attempt 24: asked 12, received 12, kept 1 -> 292/300
attempt 25: asked 11, received 11, kept 1 -> 293/300
attempt 26: asked 10, received 10, kept 0 -> 293/300
attempt 27: asked 10, received 10, kept 0 -> 293/300
attempt 28: asked 10, received 10, kept 0 -> 293/300
attempt 29: asked 10, received 10, kept 0 -> 293/300
attempt 30: asked 10, received 10, kept 0 -> 293/300
