step,episodes,seconds,loss,exact_after_8,lazy_after_8
0,0,0.0,nan,0.0039,0.6172
250,16000,77.7,0.5828,0.3926,0.6172
500,32000,155.2,0.3069,0.4863,0.6172
750,48000,233.0,0.2740,0.4707,0.6172
1000,64000,310.5,0.2520,0.4902,0.6172
1250,80000,388.0,0.2359,0.5254,0.6172
1500,96000,465.6,0.2216,0.5293,0.6172
1750,112000,543.3,0.2049,0.5625,0.6172
2000,128000,620.8,0.1891,0.5840,0.6172
2250,144000,698.3,0.1766,0.5918,0.6172
2500,160000,776.0,0.1671,0.6172,0.6172
2750,176000,853.6,0.1574,0.6348,0.6172
3000,192000,931.1,0.1501,0.6367,0.6172
3250,208000,1008.7,0.1439,0.6484,0.6172
3500,224000,1086.4,0.1388,0.6582,0.6172
3750,240000,1163.8,0.1364,0.6836,0.6172
3864,247296,1200.2,0.1343,0.6621,0.6172
