step,wall_s,bytes_seen,bytes_per_s,lr,train_nll,select_acc,select_nll,select_rank,peak_mem_bytes,halflife_median,halflife_p90
1,0.458,16384,35753.0,0.0003,5.78828,0.0,5.71839,126.626,1362345984,128.001,128.001
683,60.469,11190272,185058.6,0.0003,2.92389,0.0,4.56526,26.11,1362345984,128.001,128.001
1369,120.494,22429696,186147.3,0.0003,2.73393,0.036,3.67953,17.682,1362345984,128.001,128.001
2070,180.574,33914880,187816.6,0.0003,2.71872,0.042,3.549,15.364,1362345984,128.001,128.001
2761,240.592,45236224,188020.6,0.0003,2.71694,0.046,3.51529,14.984,1362395136,128.001,128.001
3470,300.601,56852480,189129.4,0.0003,2.71447,0.048,3.50311,14.754,1362395136,128.001,128.001
4187,360.714,68599808,190177.8,0.0003,2.71446,0.046,3.4984,14.672,1362395136,128.001,128.001
4959,420.754,81248256,193101.7,0.0003,2.71341,0.05,3.50287,14.192,1362395136,128.001,128.001
5833,480.794,95567872,198771.0,0.0003,2.71431,0.048,3.49745,13.796,1362395136,128.001,128.001
6680,540.816,109445120,202370.3,0.0003,2.71943,0.05,3.51127,14.666,1362395136,128.001,128.001
7413,600.032,121454592,202413.4,0.0003,2.72448,0.028,3.54904,14.656,1362395136,128.001,128.001
