step,wall_s,bytes_seen,bytes_per_s,lr,train_nll,select_acc,select_nll,select_rank,peak_mem_bytes,halflife_median,halflife_p90
1,1.193,16384,13733.5,0.0003,5.55887,0.008,5.59299,127.402,1430093824,31.99,396.672
711,121.333,11649024,96008.5,0.0003,2.85523,0.022,3.52965,16.542,1430093824,29.655,343.331
1469,241.393,24068096,99705.0,0.0003,2.6733,0.024,3.61939,16.992,1430093824,32.683,278.671
2257,361.535,36978688,102282.5,0.0003,2.66049,0.088,3.62758,14.706,1430093824,39.4,220.471
3044,481.658,49872896,103544.2,0.0003,2.65346,0.086,3.33952,10.74,1430093824,45.174,175.146
3846,601.765,63012864,104713.4,0.0003,2.64829,0.084,3.24931,9.276,1430093824,49.073,139.992
4649,721.808,76169216,105525.6,0.0003,2.64409,0.084,3.24322,8.878,1430093824,51.102,113.226
5452,841.914,89325568,106098.2,0.0003,2.64464,0.084,3.25093,8.856,1430093824,51.822,92.961
6251,962.046,102416384,106456.8,0.0003,2.64192,0.094,3.26635,8.748,1430093824,52.165,77.961
7051,1082.175,115523584,106751.3,0.0003,2.64189,0.092,3.30283,8.93,1430093824,51.972,68.087
7851,1202.288,128630784,106988.4,0.0003,2.63909,0.08,3.34057,9.25,1430093824,51.555,63.244
8650,1322.418,141721600,107168.5,0.0003,2.6372,0.078,3.32709,9.1,1430093824,51.053,60.997
9439,1442.515,154648576,107207.6,0.0003,2.63846,0.078,3.36423,9.004,1430093824,50.733,59.156
